,Week,Event,Location,Date,Time,Event Detail,Address,Latitude,Longitude
4,1,THE LUME Indianapolis,Newfields - A Place for Nature & the Arts,"October 18, 2021-May 31, 2022",Not listed,Digital Art Museum,"4000 N Michigan Rd, Indianapolis, IN 46208, United States",39.82596059999999,-86.1856632
1,3,Talbot Street Art Fair,Talbot Street/Herron-Morton Place Historic District,"June 18-19, 2022",Not Listed,Art Fair,"Herron Morton, Indianapolis, IN 46202, USA",39.7917451,-86.1522827
5,5,Alligators and Crocodiles - The Fight to Survive,Indianapolis Zoo,"October 18, 2021-December 31, 2023",Not listed,"New permanent exhibit, Alligators & Crocodiles","1200 W Washington St, Indianapolis, IN 46222, United States",39.7657908,-86.1811731
0,6,Emotional Intelligence 1 Day Training,"9465 Counselors Row Washington Township, Suite 200, Indianapolis, IN 46240","Thu, July 7, 2022",9:00 AM,Emotional Intelligence Class,"9465 Counselors Row # 200, Indianapolis, IN 46240, USA",39.9249883,-86.10077419999999
1,7,5 Seconds of Summer - No Shame Tour,The TCU Amphitheater at White River State Park,"July 15, 2022",Not Listed,5SOS Band Tour,"801 W Washington St, Indianapolis, IN 46204, United States",39.7659212,-86.171933
6,9,Mind Tripping Show - A Comedy with a Psychological Twist,Hilton Indianapolis Hotel & Suites,"October 22, 2021-December 31, 2022",8:00 PM,Interactive Comedy Mind Reading Act,"120 W Market St, Indianapolis, IN 46204, United States",39.7689576,-86.1601024
