Week,Event,Location,Date,Time,Event Detail
1,Centerpoint Trivia Night,Centerpoint Brewing,"October 21, 2021-August 11, 2022",7:00 PM,Trivia Night
1,Tembo Camp - A New Elephant Experience,Indianapolis Zoo,"October 18, 2021-December 31, 2023",Not Listed,Elephant exhibit
1,The Basement in 30 Tour,Indianapolis Motor Speedway Museum,"October 18, 2021-December 31, 2022",10:00 AM,Tour of the fabled IMS Museum Basement
1,Alligators and Crocodiles - The Fight to Survive,Indianapolis Zoo,"October 18, 2021-December 31, 2023",Not listed,"New permanent exhibit, Alligators & Crocodiles"
1,THE LUME Indianapolis,Newfields - A Place for Nature & the Arts,"October 18, 2021-May 31, 2022",Not listed,Digital Art Museum
1,Mind Tripping Show - A Comedy with a Psychological Twist,Hilton Indianapolis Hotel & Suites,"October 22, 2021-December 31, 2022",8:00 PM,Interactive Comedy Mind Reading Act
1,Steel Magnolias,Indiana Repertory Theatre,"May 10-June 5, 2022",Not Listed,Theatre Play
1,Kangaroo Crossing,Indianapolis Zoo,"May 28, 2022-December 31, 2024",Not Listed,New Kangaroo Crossing exhibit
