Week,Event,Location,Date,Time,Event Detail
5,Centerpoint Trivia Night,Centerpoint Brewing,"October 21, 2021-August 11, 2022",7:00 PM,Trivia Night
5,Tedeschi Trucks Band - Wheels of Soul,The TCU Amphitheater at White River State Park,"June 28, 2022",6:30 PM,Tedeschi Trucks Band Tour
5,Barenaked Ladies - Last Summer on Earth Tour,The TCU Amphitheater at White River State Park,"July 1, 2022",7:00 PM,Barenaked Ladies Band Tour
5,Tembo Camp - A New Elephant Experience,Indianapolis Zoo,"October 18, 2021-December 31, 2023",Not Listed,Elephant exhibit
5,The Basement in 30 Tour,Indianapolis Motor Speedway Museum,"October 18, 2021-December 31, 2022",10:00 AM,Tour of the fabled IMS Museum Basement
5,Alligators and Crocodiles - The Fight to Survive,Indianapolis Zoo,"October 18, 2021-December 31, 2023",Not listed,"New permanent exhibit, Alligators & Crocodiles"
5,Mind Tripping Show - A Comedy with a Psychological Twist,Hilton Indianapolis Hotel & Suites,"October 22, 2021-December 31, 2022",8:00 PM,Interactive Comedy Mind Reading Act
5,Kangaroo Crossing,Indianapolis Zoo,"May 28, 2022-December 31, 2024",Not Listed,New Kangaroo Crossing exhibit
