Week,Event,Location,Date,Time,Event Detail
3,Centerpoint Trivia Night,Centerpoint Brewing,"October 21, 2021-August 11, 2022",7:00 PM,Trivia Night
3,Talbot Street Art Fair,Talbot Street/Herron-Morton Place Historic District,"June 18-19, 2022",Not Listed,Art Fair
3,Tembo Camp - A New Elephant Experience,Indianapolis Zoo,"October 18, 2021-December 31, 2023",Not Listed,Elephant exhibit
3,The Basement in 30 Tour,Indianapolis Motor Speedway Museum,"October 18, 2021-December 31, 2022",10:00 AM,Tour of the fabled IMS Museum Basement
3,Alligators and Crocodiles - The Fight to Survive,Indianapolis Zoo,"October 18, 2021-December 31, 2023",Not listed,"New permanent exhibit, Alligators & Crocodiles"
3,Mind Tripping Show - A Comedy with a Psychological Twist,Hilton Indianapolis Hotel & Suites,"October 22, 2021-December 31, 2022",8:00 PM,Interactive Comedy Mind Reading Act
3,Kangaroo Crossing,Indianapolis Zoo,"May 28, 2022-December 31, 2024",Not Listed,New Kangaroo Crossing exhibit
