,Week,Event,Location,Date,Time,Address,Latitude,Longitude
4,1,THE LUME Indianapolis,Newfields - A Place for Nature & the Arts,"October 18, 2021-May 31, 2022",Not listed,"4000 N Michigan Rd, Indianapolis, IN 46208, United States",39.82596059999999,-86.1856632
1,3,Talbot Street Art Fair,Talbot Street/Herron-Morton Place Historic District,"June 18-19, 2022",Not Listed,"Herron Morton, Indianapolis, IN 46202, USA",39.7917451,-86.1522827
0,4,OutCare's 1st Annual Gala: A Night Out,"545 Kentucky Avenue, Indianapolis, IN 46225","Fri, June 24, 2022",6:30 PM,"545 Kentucky Ave, Indianapolis, IN 46225, USA",39.7594228,-86.17004969999999
5,5,Alligators and Crocodiles - The Fight to Survive,Indianapolis Zoo,"October 18, 2021-December 31, 2023",Not listed,"1200 W Washington St, Indianapolis, IN 46222, United States",39.7657908,-86.1811731
1,7,5 Seconds of Summer - No Shame Tour,The TCU Amphitheater at White River State Park,"July 15, 2022",Not Listed,"801 W Washington St, Indianapolis, IN 46204, United States",39.7659212,-86.171933
6,9,Mind Tripping Show - A Comedy with a Psychological Twist,Hilton Indianapolis Hotel & Suites,"October 22, 2021-December 31, 2022",8:00 PM,"120 W Market St, Indianapolis, IN 46204, United States",39.7689576,-86.1601024
