,Name,Total Travel Distance Required (km)
0,The Speak Easy,18157.413163581954
1,zWORKS,1322.2400094214895
2,Launch Fishers,1637.155586603672
3,Industrious Mass Ave,129.897476369639
4,Launch Indy,151.4283505690013
