,Name,Total Travel Distance Required (km)
0,The Speak Easy,18150.02936507187
1,zWORKS,1313.5431573336775
2,Launch Fishers,1618.9757989657596
3,Industrious Mass Ave,144.4037536422508
4,Launch Indy,169.09756489897552
